filename,label,label_ru,source_part,source_folder,original_path,processed_path,width,height
ch1__DSCN3042.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN3042.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN3042.jpg,2272,1704
ch1__DSCN3048.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN3048.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN3048.jpg,2272,1704
ch1__DSCN3051.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN3051.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN3051.jpg,2272,1704
ch1__DSCN3052.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN3052.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN3052.jpg,2272,1704
ch1__DSCN3053.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN3053.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN3053.jpg,2272,1704
ch1__DSCN3056.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN3056.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN3056.jpg,2272,1704
ch1__DSCN3057.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN3057.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN3057.jpg,2272,1704
ch1__DSCN3066.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN3066.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN3066.jpg,2272,1704
ch1__DSCN4695.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN4695.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4695.jpg,2272,1704
ch1__DSCN4708.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN4708.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4708.jpg,2272,1704
ch1__DSCN4714.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN4714.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4714.jpg,2272,1704
ch1__DSCN4715.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN4715.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4715.jpg,2272,1704
ch1__DSCN4717.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN4717.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4717.jpg,2272,1704
ch1__DSCN4718.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN4718.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4718.jpg,2272,1704
ch1__DSCN4719.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN4719.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4719.jpg,2272,1704
ch1__DSCN4720.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN4720.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4720.jpg,2272,1704
ch1__DSCN4721.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN4721.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4721.jpg,2272,1704
ch1__DSCN4727.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN4727.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4727.jpg,2272,1704
ch1__DSCN4728.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN4728.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4728.jpg,2272,1704
ch1__DSCN4730.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN4730.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4730.jpg,2272,1704
ch1__DSCN4731.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN4731.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4731.jpg,2272,1704
ch1__DSCN4732.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN4732.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4732.jpg,2272,1704
ch1__DSCN4733.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN4733.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4733.jpg,2272,1704
ch1__DSCN4734.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN4734.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4734.jpg,2272,1704
ch1__DSCN4735.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN4735.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4735.jpg,2272,1704
ch1__DSCN4754.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN4754.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4754.jpg,2272,1704
ch1__DSCN4755.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN4755.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4755.jpg,2272,1704
ch1__DSCN5032.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN5032.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN5032.jpg,2272,1704
ch1__DSCN5180.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN5180.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN5180.jpg,2272,1704
ch1__DSCN5183.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN5183.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN5183.jpg,2272,1704
ch1__DSCN5185.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN5185.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN5185.jpg,2272,1704
ch1__DSCN5186.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\DSCN5186.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN5186.jpg,2272,1704
ch1__2550374-2 10х__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\2550374-2 10х.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550374-2 10х__2.jpg,2272,1704
ch1__2550375-1 10х__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\2550375-1 10х.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550375-1 10х__2.jpg,2272,1704
ch1__2550375-3 5х__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\2550375-3 5х.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550375-3 5х__2.jpg,2272,1704
ch1__2550376-1 5x__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\2550376-1 5x.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550376-1 5x__2.jpg,2272,1704
ch1__2550376-2 10x__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\2550376-2 10x.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550376-2 10x__2.jpg,2272,1704
ch1__2550377-1 5x__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\2550377-1 5x.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550377-1 5x__2.jpg,2272,1704
ch1__2550378-1 5x__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\2550378-1 5x.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550378-1 5x__2.jpg,2272,1704
ch1__2550381-1 10x__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\2550381-1 10x.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550381-1 10x__2.jpg,2272,1704
ch1__2550381-2 10x__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\2550381-2 10x.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550381-2 10x__2.jpg,2272,1704
ch1__2550382-1 10x__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\2550382-1 10x.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550382-1 10x__2.jpg,2272,1704
ch1__DSCN3042__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN3042.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN3042__2.jpg,2272,1704
ch1__DSCN3048__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN3048.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN3048__2.jpg,2272,1704
ch1__DSCN3051__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN3051.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN3051__2.jpg,2272,1704
ch1__DSCN3052__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN3052.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN3052__2.jpg,2272,1704
ch1__DSCN3053__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN3053.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN3053__2.jpg,2272,1704
ch1__DSCN3056__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN3056.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN3056__2.jpg,2272,1704
ch1__DSCN3057__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN3057.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN3057__2.jpg,2272,1704
ch1__DSCN3066__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN3066.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN3066__2.jpg,2272,1704
ch1__DSCN4695__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4695.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4695__2.jpg,2272,1704
ch1__DSCN4708__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4708.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4708__2.jpg,2272,1704
ch1__DSCN4714__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4714.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4714__2.jpg,2272,1704
ch1__DSCN4715__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4715.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4715__2.jpg,2272,1704
ch1__DSCN4717__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4717.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4717__2.jpg,2272,1704
ch1__DSCN4718__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4718.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4718__2.jpg,2272,1704
ch1__DSCN4719__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4719.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4719__2.jpg,2272,1704
ch1__DSCN4720__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4720.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4720__2.jpg,2272,1704
ch1__DSCN4721__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4721.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4721__2.jpg,2272,1704
ch1__DSCN4727__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4727.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4727__2.jpg,2272,1704
ch1__DSCN4728__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4728.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4728__2.jpg,2272,1704
ch1__DSCN4730__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4730.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4730__2.jpg,2272,1704
ch1__DSCN4731__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4731.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4731__2.jpg,2272,1704
ch1__DSCN4732__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4732.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4732__2.jpg,2272,1704
ch1__DSCN4733__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4733.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4733__2.jpg,2272,1704
ch1__DSCN4734__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4734.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4734__2.jpg,2272,1704
ch1__DSCN4735__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4735.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4735__2.jpg,2272,1704
ch1__DSCN4754__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4754.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4754__2.jpg,2272,1704
ch1__DSCN4755__2.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4755.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__DSCN4755__2.jpg,2272,1704
